          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               0.362                   (0.8409, -0.5412)                   (1.665, 0.02509)
               0.363                   (0.8394, -0.5435)                   (1.665, 0.02116)
               0.364                   (0.8379, -0.5459)                   (1.664, 0.01722)
               0.365                   (0.8363, -0.5482)                   (1.664, 0.01328)
               0.366                   (0.8348, -0.5506)                   (1.663, 0.009316)
               0.367                   (0.8333, -0.5529)                   (1.663, 0.005343)
               0.368                   (0.8317, -0.5552)                   (1.662, 0.001358)
               0.369                   (0.8301, -0.5576)                   (1.662, -0.002639)
                0.37                   (0.8286, -0.5599)                   (1.662, -0.006648)
               0.371                   (0.827, -0.5622)                   (1.661, -0.01067)
               0.372                   (0.8254, -0.5645)                   (1.661, -0.0147)
               0.373                   (0.8238, -0.5669)                   (1.66, -0.01875)
               0.374                   (0.8222, -0.5692)                   (1.66, -0.02281)
               0.375                   (0.8206, -0.5715)                   (1.659, -0.02688)
               0.376                   (0.819, -0.5738)                   (1.659, -0.03096)
               0.377                   (0.8174, -0.5761)                   (1.658, -0.03505)
               0.378                   (0.8157, -0.5784)                   (1.658, -0.03916)
               0.379                   (0.8141, -0.5807)                   (1.657, -0.04328)
                0.38                   (0.8124, -0.583)                   (1.657, -0.04741)
               0.381                   (0.8108, -0.5853)                   (1.656, -0.05156)
               0.382                   (0.8091, -0.5876)                   (1.656, -0.05571)
               0.383                   (0.8074, -0.5899)                   (1.655, -0.05988)
               0.384                   (0.8058, -0.5922)                   (1.655, -0.06406)
               0.385                   (0.8041, -0.5945)                   (1.654, -0.06825)
               0.386                   (0.8024, -0.5968)                   (1.654, -0.07246)
               0.387                   (0.8007, -0.5991)                   (1.653, -0.07668)
               0.388                   (0.799, -0.6014)                   (1.653, -0.08091)
               0.389                   (0.7972, -0.6037)                   (1.652, -0.08515)
                0.39                   (0.7955, -0.6059)                   (1.652, -0.0894)
               0.391                   (0.7938, -0.6082)                   (1.651, -0.09367)
               0.392                   (0.792, -0.6105)                   (1.651, -0.09795)
               0.393                   (0.7903, -0.6127)                   (1.65, -0.1022)
               0.394                   (0.7885, -0.615)                   (1.65, -0.1065)
               0.395                   (0.7868, -0.6172)                   (1.649, -0.1109)
               0.396                   (0.785, -0.6195)                   (1.649, -0.1152)
               0.397                   (0.7832, -0.6217)                   (1.648, -0.1195)
               0.398                   (0.7814, -0.624)                   (1.647, -0.1239)
               0.399                   (0.7797, -0.6262)                   (1.647, -0.1282)
                 0.4                   (0.7779, -0.6284)                   (1.646, -0.1326)
               0.401                   (0.776, -0.6307)                   (1.646, -0.137)
               0.402                   (0.7742, -0.6329)                   (1.645, -0.1414)
               0.403                   (0.7724, -0.6351)                   (1.645, -0.1458)
               0.404                   (0.7706, -0.6373)                   (1.644, -0.1503)
               0.405                   (0.7687, -0.6396)                   (1.643, -0.1547)
               0.406                   (0.7669, -0.6418)                   (1.643, -0.1592)
               0.407                   (0.7651, -0.644)                   (1.642, -0.1636)
               0.408                   (0.7632, -0.6462)                   (1.642, -0.1681)
               0.409                   (0.7613, -0.6483)                   (1.641, -0.1726)
                0.41                   (0.7595, -0.6505)                   (1.64, -0.1771)
               0.411                   (0.7576, -0.6527)                   (1.64, -0.1816)
               0.412                   (0.7557, -0.6549)                   (1.639, -0.1861)
               0.413                   (0.7538, -0.6571)                   (1.638, -0.1907)
               0.414                   (0.7519, -0.6592)                   (1.638, -0.1952)
               0.415                   (0.75, -0.6614)                   (1.637, -0.1998)
               0.416                   (0.7481, -0.6635)                   (1.636, -0.2044)
               0.417                   (0.7462, -0.6657)                   (1.636, -0.209)
               0.418                   (0.7443, -0.6678)                   (1.635, -0.2136)
               0.419                   (0.7424, -0.67)                   (1.634, -0.2182)
                0.42                   (0.7404, -0.6721)                   (1.634, -0.2228)
               0.421                   (0.7385, -0.6742)                   (1.633, -0.2275)
               0.422                   (0.7366, -0.6764)                   (1.632, -0.2321)
               0.423                   (0.7346, -0.6785)                   (1.632, -0.2368)
               0.424                   (0.7327, -0.6806)                   (1.631, -0.2415)
               0.425                   (0.7307, -0.6827)                   (1.63, -0.2461)
               0.426                   (0.7287, -0.6848)                   (1.63, -0.2508)
               0.427                   (0.7268, -0.6869)                   (1.629, -0.2556)
               0.428                   (0.7248, -0.689)                   (1.628, -0.2603)
               0.429                   (0.7228, -0.691)                   (1.628, -0.265)
                0.43                   (0.7208, -0.6931)                   (1.627, -0.2698)
               0.431                   (0.7188, -0.6952)                   (1.626, -0.2746)
               0.432                   (0.7168, -0.6972)                   (1.625, -0.2793)
               0.433                   (0.7148, -0.6993)                   (1.625, -0.2841)
               0.434                   (0.7128, -0.7013)                   (1.624, -0.2889)
               0.435                   (0.7108, -0.7034)                   (1.623, -0.2937)
               0.436                   (0.7088, -0.7054)                   (1.622, -0.2986)
               0.437                   (0.7068, -0.7074)                   (1.622, -0.3034)
