          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               0.438                   (0.7048, -0.7094)                   (1.621, -0.3083)
               0.439                   (0.7027, -0.7115)                   (1.62, -0.3131)
                0.44                   (0.7007, -0.7135)                   (1.619, -0.318)
               0.441                   (0.6987, -0.7155)                   (1.618, -0.3229)
               0.442                   (0.6966, -0.7174)                   (1.618, -0.3278)
               0.443                   (0.6946, -0.7194)                   (1.617, -0.3327)
               0.444                   (0.6925, -0.7214)                   (1.616, -0.3377)
               0.445                   (0.6905, -0.7234)                   (1.615, -0.3426)
               0.446                   (0.6884, -0.7253)                   (1.614, -0.3476)
               0.447                   (0.6863, -0.7273)                   (1.613, -0.3525)
               0.448                   (0.6843, -0.7292)                   (1.613, -0.3575)
               0.449                   (0.6822, -0.7312)                   (1.612, -0.3625)
                0.45                   (0.6801, -0.7331)                   (1.611, -0.3675)
               0.451                   (0.6781, -0.735)                   (1.61, -0.3725)
               0.452                   (0.676, -0.7369)                   (1.609, -0.3776)
               0.453                   (0.6739, -0.7388)                   (1.608, -0.3826)
               0.454                   (0.6718, -0.7407)                   (1.607, -0.3877)
               0.455                   (0.6697, -0.7426)                   (1.607, -0.3927)
               0.456                   (0.6676, -0.7445)                   (1.606, -0.3978)
               0.457                   (0.6655, -0.7464)                   (1.605, -0.4029)
               0.458                   (0.6634, -0.7482)                   (1.604, -0.408)
               0.459                   (0.6613, -0.7501)                   (1.603, -0.4131)
                0.46                   (0.6592, -0.7519)                   (1.602, -0.4183)
               0.461                   (0.6571, -0.7538)                   (1.601, -0.4234)
               0.462                   (0.655, -0.7556)                   (1.6, -0.4286)
               0.463                   (0.6529, -0.7574)                   (1.599, -0.4337)
               0.464                   (0.6508, -0.7592)                   (1.598, -0.4389)
               0.465                   (0.6487, -0.761)                   (1.597, -0.4441)
               0.466                   (0.6466, -0.7628)                   (1.596, -0.4493)
               0.467                   (0.6445, -0.7646)                   (1.595, -0.4545)
               0.468                   (0.6423, -0.7664)                   (1.594, -0.4598)
               0.469                   (0.6402, -0.7682)                   (1.593, -0.465)
                0.47                   (0.6381, -0.7699)                   (1.592, -0.4703)
               0.471                   (0.636, -0.7717)                   (1.591, -0.4756)
               0.472                   (0.6339, -0.7734)                   (1.59, -0.4808)
               0.473                   (0.6317, -0.7752)                   (1.589, -0.4861)
               0.474                   (0.6296, -0.7769)                   (1.588, -0.4914)
               0.475                   (0.6275, -0.7786)                   (1.587, -0.4968)
               0.476                   (0.6254, -0.7803)                   (1.586, -0.5021)
               0.477                   (0.6232, -0.782)                   (1.585, -0.5074)
               0.478                   (0.6211, -0.7837)                   (1.584, -0.5128)
               0.479                   (0.619, -0.7854)                   (1.583, -0.5182)
                0.48                   (0.6169, -0.7871)                   (1.582, -0.5235)
               0.481                   (0.6147, -0.7887)                   (1.58, -0.5289)
               0.482                   (0.6126, -0.7904)                   (1.579, -0.5343)
               0.483                   (0.6105, -0.792)                   (1.578, -0.5398)
               0.484                   (0.6084, -0.7936)                   (1.577, -0.5452)
               0.485                   (0.6063, -0.7953)                   (1.576, -0.5506)
               0.486                   (0.6041, -0.7969)                   (1.575, -0.5561)
               0.487                   (0.602, -0.7985)                   (1.574, -0.5616)
               0.488                   (0.5999, -0.8001)                   (1.572, -0.567)
               0.489                   (0.5978, -0.8017)                   (1.571, -0.5725)
                0.49                   (0.5957, -0.8032)                   (1.57, -0.578)
               0.491                   (0.5935, -0.8048)                   (1.569, -0.5836)
               0.492                   (0.5914, -0.8064)                   (1.568, -0.5891)
               0.493                   (0.5893, -0.8079)                   (1.566, -0.5946)
               0.494                   (0.5872, -0.8094)                   (1.565, -0.6002)
